German,English,word_id,img
"der Saft,-:e",juice,40,juice.jpg
"der Wein,-e",wine,41,wine.jpg
"die Milch,-e",milk,42,milk.jpg
"das Wasser,-:",water,43,water.jpg
"das Getränk,-e",beverage,44,None
