pronoun,presente,futuro_semplice,verb_id
io,trovo,trovarò,1
tu,trovi,trovarai,2
lui,trova,trovarà,3
noi,troviamo,troveremo,4
voi,trovate,troverete,5
loro,trovano,troveranno,6

