pronoun,presente,futuro_semplice,verb_id
io,leggo,leggerò,1
tu,leggi,leggerai,2
lui,legge,leggerà,3
noi,leggiamo,leggeremo,4
voi,leggete,leggerete,5
loro,leggono,leggerano,6
