pronoun,presente,futuro_semplice,verb_id
io,voglio,vorrò,1
tu,vuoi,vorrai,2
lui,vuole,vorrà,3
noi,vogliamo,vorremo,4
voi,volete,vorrete,5
loro,vogliono,vorranno,6
