pronoun,presente,futuro_semplice,verb_id
io,capisco,capirò,1
tu,capisci,capirai,2
lui,capisce,capirà,3
noi,capiamo,capiremo,4
voi,capite,capirete,5
loro,capiscono,capiranno,6

