pronoun,presente,futuro_semplice,verb_id
io,esco,uscirò,1
tu,esci,uscirai,2
lui,esce,uscira,3
noi,usciamo,usciremo,4
voi,uscite,uscirete,5
loro,escono,usciranno,6

