pronoun,presente,futuro_semplice,verb_id
io,abito,abiterò,1
tu,abiti,abiterai,2
lui,abita,abiterà,3
noi,abitiamo,abiteremo,4
voi,abitate,abiterete,5
loro,abitano,abiteranno,6
