pronoun,presente,futuro_semplice,verb_id
io,finisco,finirò,1
tu,finisci,finirai,2
lui,finisce,finirà,3
noi,finiamo,finiremo,4
voi,finite,finirete,5
loro,finiscono,finiranno,6
