pronoun,presente,futuro_semplice,verb_id
io,dormo,dormirò,1
tu,dormi,dormirai,2
lui,dorme,dormirà,3
noi,dormiamo,dormiremo,4
voi,dormite,dormirete,5
loro,dormono,dormiranno,6
