pronoun,presente,futuro_semplice,verb_id
io,vedo,vedrò,1
tu,vedi,vedrai,2
lui,vede,vedrà,3
noi,vediamo,vedremo,4
voi,vedete,vedrete,5
loro,vedono,vedrano,6
