pronoun,presente,futuro_semplice,verb_id
io,devo,dovrò,1
tu,devi,dovrai,2
lui,deve,dovrà,3
noi,dobbiamo,dovremo,4 
voi,dovete,dovrete,5
loro,devono,dovranno,6
