pronoun,praesens,praeteritum,perfekt,plusquamperfekt,futur_eins,futur_zwei,verb_id
ich,habe,hatte,habe gehabt,hatte gehabt,werde haben,werde gehabt haben,1
du,hast,hattest,hast gehabt,hattest gehabt,werdest haben,werdest gehabt haben,2
er,hat,hatte,hat gehabt,hatte gehabt,wird haben,wird gehabt haben,3
wir,haben,hatten,haben gehabt,hatten gehabt,werden haben,werden gehabt haben,4
ihr,habt,hattet,habt gehabt,hattet gehabt,werdet haben,werdet gehabt haben,5
sie,haben,hatten,haben gehabt,hatten gehabt,werden haben,werden gehabt haben,6
